iteration,t_loss,v_loss,v_best_loss,lr
         0,7.868e-03,1.048e-02,1.048e-02,5.120e-04
        27,1.422e-02,1.569e-02,1.048e-02,5.120e-04
        54,1.333e-02,1.455e-02,1.048e-02,5.120e-04
        81,1.331e-02,1.491e-02,1.048e-02,5.120e-04
       108,9.520e-03,1.203e-02,1.048e-02,5.120e-04
       135,1.084e-02,1.301e-02,1.048e-02,5.120e-04
       162,1.660e-02,1.768e-02,1.048e-02,5.120e-04
       189,1.289e-02,1.376e-02,1.048e-02,5.120e-04
       216,1.282e-02,1.570e-02,1.048e-02,5.120e-04
       243,8.893e-03,1.110e-02,1.048e-02,5.120e-04
       270,9.845e-03,1.150e-02,1.048e-02,5.120e-04
       297,9.489e-03,1.145e-02,1.048e-02,5.120e-04
       324,1.179e-02,1.262e-02,1.048e-02,5.120e-04
       351,9.664e-03,1.213e-02,1.048e-02,5.120e-04
       378,9.897e-03,1.166e-02,1.048e-02,5.120e-04
       405,1.322e-02,1.507e-02,1.048e-02,5.120e-04
       432,1.021e-02,1.222e-02,1.048e-02,5.120e-04
       459,9.768e-03,1.201e-02,1.048e-02,5.120e-04
       486,1.023e-02,1.216e-02,1.048e-02,5.120e-04
       513,9.404e-03,1.210e-02,1.048e-02,5.120e-04
       540,1.151e-02,1.320e-02,1.048e-02,5.120e-04
       567,1.056e-02,1.274e-02,1.048e-02,5.120e-04
       594,1.296e-02,1.472e-02,1.048e-02,5.120e-04
       621,9.137e-03,1.100e-02,1.048e-02,5.120e-04
       648,9.950e-03,1.140e-02,1.048e-02,5.120e-04
       675,9.979e-03,1.155e-02,1.048e-02,5.120e-04
       702,9.282e-03,1.220e-02,1.048e-02,5.120e-04
       729,1.272e-02,1.512e-02,1.048e-02,5.120e-04
       756,1.398e-02,1.647e-02,1.048e-02,5.120e-04
       783,9.263e-03,1.141e-02,1.048e-02,5.120e-04
       810,1.030e-02,1.299e-02,1.048e-02,5.120e-04
       837,1.192e-02,1.346e-02,1.048e-02,5.120e-04
       864,1.002e-02,1.206e-02,1.048e-02,5.120e-04
       891,1.009e-02,1.213e-02,1.048e-02,5.120e-04
       918,1.020e-02,1.227e-02,1.048e-02,5.120e-04
       945,9.482e-03,1.238e-02,1.048e-02,5.120e-04
       972,1.226e-02,1.390e-02,1.048e-02,5.120e-04
       999,9.029e-03,1.202e-02,1.048e-02,5.120e-04
      1026,1.259e-02,1.377e-02,1.048e-02,5.120e-04
      1053,1.010e-02,1.162e-02,1.048e-02,5.120e-04
      1080,1.040e-02,1.201e-02,1.048e-02,5.120e-04
      1107,8.952e-03,1.137e-02,1.048e-02,5.120e-04
      1134,9.599e-03,1.238e-02,1.048e-02,5.120e-04
      1161,1.264e-02,1.359e-02,1.048e-02,5.120e-04
      1188,1.098e-02,1.357e-02,1.048e-02,5.120e-04
      1215,1.335e-02,1.431e-02,1.048e-02,5.120e-04
      1242,1.498e-02,1.809e-02,1.048e-02,5.120e-04
      1269,1.526e-02,1.631e-02,1.048e-02,5.120e-04
      1296,9.352e-03,1.176e-02,1.048e-02,5.120e-04
      1323,1.014e-02,1.244e-02,1.048e-02,5.120e-04
      1350,1.336e-02,1.514e-02,1.048e-02,5.120e-04
      1377,1.102e-02,1.306e-02,1.048e-02,5.120e-04
      1404,1.116e-02,1.339e-02,1.048e-02,5.120e-04
      1431,9.790e-03,1.183e-02,1.048e-02,5.120e-04
      1458,1.483e-02,1.647e-02,1.048e-02,5.120e-04
      1485,1.511e-02,1.669e-02,1.048e-02,5.120e-04
      1512,1.103e-02,1.328e-02,1.048e-02,5.120e-04
      1539,9.359e-03,1.098e-02,1.048e-02,5.120e-04
      1566,8.634e-03,1.074e-02,1.048e-02,5.120e-04
      1593,8.821e-03,1.089e-02,1.048e-02,5.120e-04
      1620,8.419e-03,1.090e-02,1.048e-02,5.120e-04
      1647,9.878e-03,1.242e-02,1.048e-02,5.120e-04
      1674,1.126e-02,1.251e-02,1.048e-02,5.120e-04
