iteration,t_loss,v_loss,v_best_loss,lr
         0,4.498e+02,4.399e+02,4.399e+02,1.000e-03
        27,4.496e+02,4.403e+02,4.399e+02,1.000e-03
        54,4.497e+02,4.408e+02,4.399e+02,1.000e-03
        81,4.492e+02,4.412e+02,4.399e+02,1.000e-03
       108,4.491e+02,4.414e+02,4.399e+02,1.000e-03
       135,4.487e+02,4.428e+02,4.399e+02,1.000e-03
       162,4.482e+02,4.410e+02,4.399e+02,1.000e-03
       189,4.462e+02,4.397e+02,4.399e+02,1.000e-03
       216,4.430e+02,4.374e+02,4.399e+02,1.000e-03
       243,4.353e+02,4.296e+02,4.296e+02,1.000e-03
       270,4.187e+02,4.154e+02,4.154e+02,1.000e-03
       297,3.880e+02,3.861e+02,3.861e+02,1.000e-03
       324,3.204e+02,3.214e+02,3.214e+02,1.000e-03
       351,2.189e+02,2.160e+02,2.160e+02,1.000e-03
       378,1.136e+02,1.134e+02,1.134e+02,1.000e-03
       405,4.545e+01,4.556e+01,4.556e+01,1.000e-03
       432,2.116e+01,2.214e+01,2.214e+01,1.000e-03
       459,1.702e+01,1.686e+01,1.686e+01,1.000e-03
       486,1.473e+01,1.413e+01,1.413e+01,1.000e-03
       513,1.478e+01,1.407e+01,1.413e+01,1.000e-03
       540,1.166e+01,1.112e+01,1.112e+01,1.000e-03
       567,1.109e+01,1.078e+01,1.078e+01,1.000e-03
       594,9.456e+00,9.261e+00,9.261e+00,1.000e-03
       621,9.213e+00,9.017e+00,9.017e+00,1.000e-03
       648,8.982e+00,8.835e+00,8.835e+00,1.000e-03
       675,8.074e+00,7.899e+00,7.899e+00,1.000e-03
       702,7.731e+00,7.391e+00,7.391e+00,1.000e-03
       729,6.848e+00,6.532e+00,6.532e+00,1.000e-03
       756,6.644e+00,6.213e+00,6.213e+00,1.000e-03
       783,6.081e+00,5.824e+00,5.824e+00,1.000e-03
       810,5.937e+00,5.661e+00,5.661e+00,1.000e-03
       837,5.837e+00,5.690e+00,5.661e+00,1.000e-03
       864,5.280e+00,4.918e+00,4.918e+00,1.000e-03
       891,5.194e+00,5.227e+00,4.918e+00,1.000e-03
       918,4.609e+00,4.208e+00,4.208e+00,1.000e-03
       945,4.352e+00,4.090e+00,4.090e+00,1.000e-03
       972,3.660e+00,3.379e+00,3.379e+00,1.000e-03
       999,3.914e+00,3.492e+00,3.379e+00,1.000e-03
      1026,4.099e+00,3.636e+00,3.379e+00,1.000e-03
      1053,3.729e+00,3.589e+00,3.379e+00,1.000e-03
      1080,3.192e+00,3.086e+00,3.086e+00,1.000e-03
      1107,3.213e+00,2.928e+00,2.928e+00,1.000e-03
      1134,2.807e+00,2.703e+00,2.703e+00,1.000e-03
      1161,2.902e+00,2.775e+00,2.703e+00,1.000e-03
      1188,2.653e+00,2.670e+00,2.703e+00,1.000e-03
      1215,2.894e+00,2.620e+00,2.620e+00,1.000e-03
      1242,2.740e+00,2.590e+00,2.620e+00,1.000e-03
      1269,2.599e+00,2.616e+00,2.620e+00,1.000e-03
