iteration,t_loss,v_loss,v_best_loss,lr
         0,4.035e+02,4.603e+02,4.603e+02,1.000e-03
        27,4.035e+02,4.603e+02,4.603e+02,1.000e-03
        54,4.035e+02,4.602e+02,4.603e+02,1.000e-03
        81,4.033e+02,4.600e+02,4.603e+02,1.000e-03
       108,4.029e+02,4.595e+02,4.603e+02,1.000e-03
       135,4.007e+02,4.569e+02,4.603e+02,1.000e-03
       162,3.913e+02,4.458e+02,4.458e+02,1.000e-03
       189,3.577e+02,4.065e+02,4.065e+02,1.000e-03
       216,2.763e+02,3.112e+02,3.112e+02,1.000e-03
       243,1.498e+02,1.640e+02,1.640e+02,1.000e-03
       270,4.045e+01,4.342e+01,4.342e+01,1.000e-03
       297,1.289e+01,1.528e+01,1.528e+01,1.000e-03
       324,1.155e+01,1.403e+01,1.403e+01,1.000e-03
       351,1.026e+01,1.282e+01,1.282e+01,1.000e-03
       378,9.766e+00,1.154e+01,1.154e+01,1.000e-03
       405,9.252e+00,1.145e+01,1.154e+01,1.000e-03
       432,8.151e+00,9.993e+00,9.993e+00,1.000e-03
       459,8.208e+00,1.015e+01,9.993e+00,1.000e-03
       486,7.304e+00,9.311e+00,9.311e+00,1.000e-03
       513,7.724e+00,9.730e+00,9.311e+00,1.000e-03
       540,7.108e+00,8.915e+00,8.915e+00,1.000e-03
       567,6.802e+00,8.168e+00,8.168e+00,1.000e-03
       594,6.284e+00,7.487e+00,7.487e+00,1.000e-03
       621,6.095e+00,7.336e+00,7.336e+00,1.000e-03
       648,5.914e+00,7.209e+00,7.209e+00,1.000e-03
       675,5.972e+00,7.108e+00,7.209e+00,1.000e-03
       702,6.072e+00,7.096e+00,7.096e+00,1.000e-03
       729,6.881e+00,8.352e+00,7.096e+00,1.000e-03
       756,5.627e+00,6.865e+00,6.865e+00,1.000e-03
       783,5.288e+00,6.443e+00,6.443e+00,1.000e-03
       810,5.109e+00,6.025e+00,6.025e+00,1.000e-03
       837,5.096e+00,6.224e+00,6.025e+00,1.000e-03
       864,5.231e+00,5.962e+00,6.025e+00,1.000e-03
       891,5.412e+00,6.305e+00,6.025e+00,1.000e-03
       918,4.615e+00,5.141e+00,5.141e+00,1.000e-03
       945,4.906e+00,5.934e+00,5.141e+00,1.000e-03
       972,4.575e+00,5.706e+00,5.141e+00,1.000e-03
       999,4.946e+00,5.817e+00,5.141e+00,1.000e-03
      1026,4.210e+00,5.257e+00,5.141e+00,1.000e-03
      1053,4.061e+00,4.882e+00,4.882e+00,1.000e-03
      1080,4.346e+00,5.378e+00,4.882e+00,1.000e-03
      1107,4.272e+00,5.079e+00,4.882e+00,1.000e-03
      1134,4.531e+00,5.433e+00,4.882e+00,1.000e-03
      1161,3.540e+00,4.129e+00,4.129e+00,1.000e-03
      1188,3.752e+00,4.510e+00,4.129e+00,1.000e-03
      1215,3.978e+00,4.790e+00,4.129e+00,1.000e-03
      1242,4.031e+00,4.950e+00,4.129e+00,1.000e-03
      1269,3.854e+00,4.646e+00,4.129e+00,1.000e-03
      1296,3.452e+00,4.132e+00,4.129e+00,1.000e-03
      1323,3.505e+00,4.261e+00,4.129e+00,1.000e-03
      1350,3.342e+00,3.830e+00,3.830e+00,1.000e-03
      1377,3.518e+00,4.025e+00,3.830e+00,1.000e-03
      1404,3.426e+00,4.062e+00,3.830e+00,1.000e-03
      1431,3.296e+00,4.054e+00,3.830e+00,1.000e-03
      1458,3.406e+00,3.973e+00,3.830e+00,1.000e-03
      1485,3.194e+00,3.898e+00,3.830e+00,1.000e-03
      1512,3.050e+00,3.737e+00,3.737e+00,1.000e-03
      1539,3.074e+00,3.701e+00,3.737e+00,1.000e-03
      1566,3.041e+00,3.496e+00,3.496e+00,1.000e-03
      1593,3.695e+00,4.339e+00,3.496e+00,1.000e-03
      1620,2.879e+00,3.624e+00,3.496e+00,1.000e-03
      1647,2.700e+00,3.074e+00,3.074e+00,1.000e-03
      1674,2.923e+00,3.485e+00,3.074e+00,1.000e-03
      1701,3.229e+00,3.694e+00,3.074e+00,1.000e-03
      1728,2.644e+00,3.207e+00,3.074e+00,1.000e-03
      1755,3.130e+00,3.768e+00,3.074e+00,1.000e-03
      1782,3.105e+00,3.545e+00,3.074e+00,1.000e-03
      1809,2.677e+00,3.110e+00,3.074e+00,8.000e-04
      1836,2.529e+00,3.090e+00,3.074e+00,8.000e-04
      1863,2.918e+00,3.509e+00,3.074e+00,8.000e-04
      1890,2.745e+00,3.392e+00,3.074e+00,8.000e-04
      1917,2.675e+00,3.167e+00,3.074e+00,8.000e-04
      1944,2.480e+00,2.955e+00,2.955e+00,8.000e-04
      1971,2.584e+00,3.018e+00,2.955e+00,8.000e-04
      1998,2.515e+00,3.142e+00,2.955e+00,8.000e-04
      2025,2.536e+00,2.911e+00,2.955e+00,8.000e-04
      2052,2.576e+00,3.114e+00,2.955e+00,8.000e-04
      2079,2.695e+00,3.240e+00,2.955e+00,8.000e-04
      2106,2.314e+00,2.808e+00,2.808e+00,8.000e-04
      2133,2.468e+00,2.926e+00,2.808e+00,8.000e-04
      2160,2.453e+00,2.949e+00,2.808e+00,8.000e-04
      2187,3.058e+00,3.554e+00,2.808e+00,8.000e-04
      2214,2.208e+00,2.761e+00,2.761e+00,8.000e-04
      2241,2.453e+00,3.069e+00,2.761e+00,8.000e-04
      2268,2.437e+00,2.766e+00,2.761e+00,8.000e-04
      2295,2.234e+00,2.580e+00,2.580e+00,8.000e-04
      2322,2.419e+00,3.018e+00,2.580e+00,8.000e-04
      2349,2.184e+00,2.673e+00,2.580e+00,8.000e-04
      2376,2.207e+00,2.648e+00,2.580e+00,8.000e-04
      2403,2.217e+00,2.766e+00,2.580e+00,8.000e-04
      2430,2.553e+00,3.060e+00,2.580e+00,8.000e-04
      2457,2.280e+00,2.662e+00,2.580e+00,8.000e-04
      2484,2.287e+00,2.770e+00,2.580e+00,8.000e-04
      2511,2.238e+00,2.676e+00,2.580e+00,8.000e-04
      2538,2.464e+00,2.911e+00,2.580e+00,8.000e-04
      2565,2.688e+00,3.186e+00,2.580e+00,8.000e-04
      2592,2.359e+00,2.757e+00,2.580e+00,8.000e-04
      2619,2.312e+00,2.757e+00,2.580e+00,8.000e-04
      2646,2.240e+00,2.572e+00,2.580e+00,8.000e-04
      2673,2.454e+00,2.845e+00,2.580e+00,8.000e-04
      2700,2.297e+00,2.647e+00,2.580e+00,8.000e-04
      2727,2.471e+00,2.904e+00,2.580e+00,8.000e-04
      2754,2.254e+00,2.766e+00,2.580e+00,8.000e-04
      2781,2.072e+00,2.444e+00,2.444e+00,8.000e-04
      2808,2.276e+00,2.762e+00,2.444e+00,8.000e-04
      2835,2.189e+00,2.606e+00,2.444e+00,8.000e-04
      2862,2.166e+00,2.625e+00,2.444e+00,8.000e-04
      2889,2.499e+00,2.865e+00,2.444e+00,8.000e-04
