iteration,t_loss,v_loss,v_best_loss,lr
         0,4.234e+02,4.481e+02,4.481e+02,1.000e-03
        27,4.234e+02,4.481e+02,4.481e+02,1.000e-03
        54,4.235e+02,4.481e+02,4.481e+02,1.000e-03
        81,4.232e+02,4.479e+02,4.481e+02,1.000e-03
       108,4.228e+02,4.474e+02,4.481e+02,1.000e-03
       135,4.211e+02,4.456e+02,4.481e+02,1.000e-03
       162,4.143e+02,4.381e+02,4.381e+02,1.000e-03
       189,3.871e+02,4.091e+02,4.091e+02,1.000e-03
       216,3.246e+02,3.420e+02,3.420e+02,1.000e-03
       243,2.101e+02,2.185e+02,2.185e+02,1.000e-03
       270,8.022e+01,8.212e+01,8.212e+01,1.000e-03
       297,1.936e+01,1.897e+01,1.897e+01,1.000e-03
       324,1.366e+01,1.382e+01,1.382e+01,1.000e-03
       351,1.347e+01,1.401e+01,1.382e+01,1.000e-03
       378,1.168e+01,1.228e+01,1.228e+01,1.000e-03
       405,1.119e+01,1.197e+01,1.197e+01,1.000e-03
       432,1.068e+01,1.138e+01,1.138e+01,1.000e-03
       459,1.078e+01,1.181e+01,1.138e+01,1.000e-03
       486,1.042e+01,1.125e+01,1.138e+01,1.000e-03
       513,9.267e+00,9.992e+00,9.992e+00,1.000e-03
       540,1.042e+01,1.105e+01,9.992e+00,1.000e-03
       567,9.486e+00,1.037e+01,9.992e+00,1.000e-03
       594,9.161e+00,9.762e+00,9.762e+00,1.000e-03
       621,8.758e+00,9.421e+00,9.421e+00,1.000e-03
       648,8.868e+00,9.549e+00,9.421e+00,1.000e-03
       675,8.140e+00,8.912e+00,8.912e+00,1.000e-03
       702,7.785e+00,8.243e+00,8.243e+00,1.000e-03
       729,7.786e+00,8.525e+00,8.243e+00,1.000e-03
       756,7.990e+00,8.790e+00,8.243e+00,1.000e-03
       783,6.726e+00,7.321e+00,7.321e+00,1.000e-03
       810,6.420e+00,6.793e+00,6.793e+00,1.000e-03
       837,6.975e+00,7.686e+00,6.793e+00,1.000e-03
       864,5.909e+00,6.302e+00,6.302e+00,1.000e-03
       891,5.630e+00,6.124e+00,6.124e+00,1.000e-03
       918,4.910e+00,5.509e+00,5.509e+00,1.000e-03
       945,5.226e+00,5.978e+00,5.509e+00,1.000e-03
       972,4.451e+00,4.972e+00,4.972e+00,1.000e-03
       999,4.152e+00,4.791e+00,4.791e+00,1.000e-03
      1026,4.583e+00,5.243e+00,4.791e+00,1.000e-03
      1053,5.457e+00,5.729e+00,4.791e+00,1.000e-03
      1080,4.059e+00,4.669e+00,4.669e+00,1.000e-03
      1107,4.117e+00,4.367e+00,4.367e+00,1.000e-03
      1134,4.112e+00,4.524e+00,4.367e+00,1.000e-03
      1161,3.626e+00,4.140e+00,4.140e+00,1.000e-03
      1188,4.097e+00,4.600e+00,4.140e+00,1.000e-03
      1215,3.619e+00,4.122e+00,4.140e+00,1.000e-03
      1242,4.249e+00,4.822e+00,4.140e+00,1.000e-03
      1269,3.679e+00,3.890e+00,3.890e+00,1.000e-03
      1296,3.548e+00,3.930e+00,3.890e+00,1.000e-03
      1323,3.561e+00,4.021e+00,3.890e+00,1.000e-03
      1350,3.431e+00,3.665e+00,3.665e+00,1.000e-03
      1377,3.231e+00,3.420e+00,3.420e+00,1.000e-03
      1404,2.943e+00,3.381e+00,3.420e+00,1.000e-03
      1431,2.858e+00,3.375e+00,3.420e+00,1.000e-03
      1458,3.979e+00,4.250e+00,3.420e+00,1.000e-03
      1485,2.880e+00,3.305e+00,3.305e+00,1.000e-03
      1512,3.094e+00,3.264e+00,3.305e+00,1.000e-03
      1539,2.645e+00,2.868e+00,2.868e+00,1.000e-03
      1566,2.816e+00,3.276e+00,2.868e+00,1.000e-03
      1593,2.363e+00,2.605e+00,2.605e+00,1.000e-03
      1620,2.933e+00,3.387e+00,2.605e+00,1.000e-03
      1647,2.776e+00,2.926e+00,2.605e+00,1.000e-03
      1674,2.380e+00,2.663e+00,2.605e+00,1.000e-03
      1701,2.844e+00,3.131e+00,2.605e+00,1.000e-03
      1728,2.439e+00,2.747e+00,2.605e+00,1.000e-03
      1755,2.497e+00,2.833e+00,2.605e+00,1.000e-03
      1782,3.675e+00,3.935e+00,2.605e+00,1.000e-03
      1809,2.862e+00,3.301e+00,2.605e+00,8.000e-04
      1836,2.639e+00,2.970e+00,2.605e+00,8.000e-04
      1863,2.313e+00,2.599e+00,2.605e+00,8.000e-04
      1890,2.422e+00,2.709e+00,2.605e+00,8.000e-04
      1917,2.515e+00,2.790e+00,2.605e+00,8.000e-04
      1944,2.287e+00,2.667e+00,2.605e+00,8.000e-04
      1971,2.565e+00,2.641e+00,2.605e+00,8.000e-04
      1998,2.195e+00,2.381e+00,2.381e+00,8.000e-04
      2025,2.366e+00,2.700e+00,2.381e+00,8.000e-04
      2052,3.169e+00,3.330e+00,2.381e+00,8.000e-04
      2079,2.632e+00,2.880e+00,2.381e+00,8.000e-04
      2106,2.190e+00,2.395e+00,2.381e+00,8.000e-04
      2133,2.156e+00,2.394e+00,2.381e+00,8.000e-04
      2160,3.052e+00,2.974e+00,2.381e+00,8.000e-04
      2187,2.311e+00,2.619e+00,2.381e+00,8.000e-04
      2214,2.336e+00,2.555e+00,2.381e+00,8.000e-04
      2241,2.471e+00,2.737e+00,2.381e+00,8.000e-04
      2268,2.242e+00,2.573e+00,2.381e+00,8.000e-04
      2295,2.726e+00,2.897e+00,2.381e+00,8.000e-04
      2322,2.209e+00,2.584e+00,2.381e+00,8.000e-04
      2349,2.835e+00,2.985e+00,2.381e+00,8.000e-04
      2376,1.979e+00,2.305e+00,2.305e+00,8.000e-04
      2403,2.447e+00,2.485e+00,2.305e+00,8.000e-04
      2430,2.162e+00,2.528e+00,2.305e+00,8.000e-04
      2457,2.180e+00,2.485e+00,2.305e+00,8.000e-04
      2484,1.873e+00,2.163e+00,2.163e+00,8.000e-04
      2511,2.315e+00,2.569e+00,2.163e+00,8.000e-04
      2538,2.519e+00,2.669e+00,2.163e+00,8.000e-04
      2565,2.284e+00,2.543e+00,2.163e+00,8.000e-04
      2592,2.301e+00,2.506e+00,2.163e+00,8.000e-04
      2619,1.907e+00,2.196e+00,2.163e+00,8.000e-04
      2646,2.603e+00,2.817e+00,2.163e+00,8.000e-04
      2673,1.981e+00,2.307e+00,2.163e+00,8.000e-04
      2700,2.053e+00,2.222e+00,2.163e+00,8.000e-04
      2727,2.056e+00,2.306e+00,2.163e+00,8.000e-04
      2754,1.980e+00,2.222e+00,2.163e+00,8.000e-04
      2781,2.185e+00,2.353e+00,2.163e+00,8.000e-04
      2808,1.858e+00,2.076e+00,2.076e+00,8.000e-04
      2835,2.747e+00,2.922e+00,2.076e+00,8.000e-04
      2862,1.918e+00,2.094e+00,2.076e+00,8.000e-04
      2889,1.822e+00,1.985e+00,1.985e+00,8.000e-04
      2916,1.856e+00,2.108e+00,1.985e+00,8.000e-04
      2943,2.460e+00,2.865e+00,1.985e+00,8.000e-04
      2970,1.802e+00,2.021e+00,1.985e+00,8.000e-04
      2997,1.669e+00,1.923e+00,1.923e+00,8.000e-04
      3024,2.029e+00,2.332e+00,1.923e+00,8.000e-04
      3051,1.765e+00,2.027e+00,1.923e+00,8.000e-04
      3078,1.910e+00,2.265e+00,1.923e+00,8.000e-04
      3105,1.840e+00,2.071e+00,1.923e+00,8.000e-04
      3132,1.652e+00,1.895e+00,1.923e+00,8.000e-04
      3159,1.719e+00,1.961e+00,1.923e+00,8.000e-04
      3186,1.530e+00,1.808e+00,1.808e+00,8.000e-04
      3213,2.049e+00,2.213e+00,1.808e+00,8.000e-04
      3240,1.643e+00,1.863e+00,1.808e+00,8.000e-04
      3267,1.577e+00,1.662e+00,1.662e+00,8.000e-04
      3294,1.436e+00,1.748e+00,1.662e+00,8.000e-04
      3321,1.413e+00,1.748e+00,1.662e+00,8.000e-04
      3348,1.560e+00,1.724e+00,1.662e+00,8.000e-04
      3375,1.562e+00,1.817e+00,1.662e+00,8.000e-04
      3402,1.621e+00,1.829e+00,1.662e+00,8.000e-04
      3429,1.378e+00,1.600e+00,1.600e+00,8.000e-04
      3456,1.391e+00,1.632e+00,1.600e+00,8.000e-04
      3483,1.665e+00,1.867e+00,1.600e+00,8.000e-04
      3510,1.661e+00,1.877e+00,1.600e+00,8.000e-04
      3537,1.507e+00,1.666e+00,1.600e+00,8.000e-04
      3564,1.434e+00,1.552e+00,1.552e+00,8.000e-04
      3591,1.958e+00,1.950e+00,1.552e+00,8.000e-04
      3618,1.663e+00,1.961e+00,1.552e+00,6.400e-04
      3645,1.648e+00,1.658e+00,1.552e+00,6.400e-04
      3672,1.292e+00,1.478e+00,1.478e+00,6.400e-04
      3699,1.338e+00,1.497e+00,1.478e+00,6.400e-04
      3726,1.800e+00,1.870e+00,1.478e+00,6.400e-04
      3753,1.377e+00,1.675e+00,1.478e+00,6.400e-04
      3780,1.257e+00,1.474e+00,1.478e+00,6.400e-04
      3807,1.508e+00,1.654e+00,1.478e+00,6.400e-04
      3834,1.343e+00,1.474e+00,1.478e+00,6.400e-04
      3861,1.337e+00,1.613e+00,1.478e+00,6.400e-04
      3888,1.405e+00,1.672e+00,1.478e+00,6.400e-04
      3915,1.485e+00,1.589e+00,1.478e+00,6.400e-04
      3942,1.205e+00,1.398e+00,1.398e+00,6.400e-04
      3969,1.150e+00,1.360e+00,1.360e+00,6.400e-04
      3996,1.194e+00,1.430e+00,1.360e+00,6.400e-04
      4023,1.235e+00,1.424e+00,1.360e+00,6.400e-04
      4050,1.243e+00,1.428e+00,1.360e+00,6.400e-04
      4077,1.346e+00,1.598e+00,1.360e+00,6.400e-04
      4104,1.629e+00,1.599e+00,1.360e+00,6.400e-04
      4131,1.289e+00,1.428e+00,1.360e+00,6.400e-04
      4158,1.603e+00,1.695e+00,1.360e+00,6.400e-04
      4185,1.208e+00,1.302e+00,1.302e+00,6.400e-04
      4212,1.176e+00,1.383e+00,1.302e+00,6.400e-04
      4239,1.376e+00,1.562e+00,1.302e+00,6.400e-04
      4266,1.394e+00,1.507e+00,1.302e+00,6.400e-04
      4293,1.268e+00,1.411e+00,1.302e+00,6.400e-04
      4320,1.557e+00,1.566e+00,1.302e+00,6.400e-04
      4347,1.182e+00,1.376e+00,1.302e+00,6.400e-04
      4374,1.232e+00,1.364e+00,1.302e+00,6.400e-04
      4401,1.161e+00,1.321e+00,1.302e+00,6.400e-04
      4428,1.186e+00,1.381e+00,1.302e+00,6.400e-04
      4455,1.136e+00,1.309e+00,1.302e+00,6.400e-04
      4482,1.265e+00,1.342e+00,1.302e+00,6.400e-04
      4509,1.292e+00,1.353e+00,1.302e+00,6.400e-04
      4536,1.136e+00,1.246e+00,1.246e+00,6.400e-04
      4563,1.535e+00,1.619e+00,1.246e+00,6.400e-04
      4590,1.361e+00,1.544e+00,1.246e+00,6.400e-04
      4617,1.364e+00,1.392e+00,1.246e+00,6.400e-04
      4644,1.227e+00,1.385e+00,1.246e+00,6.400e-04
      4671,1.208e+00,1.274e+00,1.246e+00,6.400e-04
      4698,1.359e+00,1.484e+00,1.246e+00,6.400e-04
      4725,1.315e+00,1.465e+00,1.246e+00,6.400e-04
      4752,1.328e+00,1.408e+00,1.246e+00,6.400e-04
      4779,1.142e+00,1.284e+00,1.246e+00,6.400e-04
      4806,1.132e+00,1.267e+00,1.246e+00,6.400e-04
      4833,1.123e+00,1.283e+00,1.246e+00,6.400e-04
      4860,1.241e+00,1.318e+00,1.246e+00,6.400e-04
      4887,1.252e+00,1.398e+00,1.246e+00,6.400e-04
      4914,1.636e+00,1.697e+00,1.246e+00,6.400e-04
      4941,1.254e+00,1.312e+00,1.246e+00,6.400e-04
      4968,1.184e+00,1.420e+00,1.246e+00,6.400e-04
      4995,1.200e+00,1.242e+00,1.246e+00,6.400e-04
      5022,1.195e+00,1.271e+00,1.246e+00,6.400e-04
      5049,1.331e+00,1.423e+00,1.246e+00,6.400e-04
      5076,1.240e+00,1.344e+00,1.246e+00,6.400e-04
      5103,1.265e+00,1.252e+00,1.246e+00,6.400e-04
      5130,1.158e+00,1.195e+00,1.195e+00,6.400e-04
      5157,1.247e+00,1.334e+00,1.195e+00,6.400e-04
      5184,1.363e+00,1.351e+00,1.195e+00,6.400e-04
      5211,1.205e+00,1.338e+00,1.195e+00,6.400e-04
      5238,1.279e+00,1.316e+00,1.195e+00,6.400e-04
      5265,1.195e+00,1.285e+00,1.195e+00,6.400e-04
      5292,1.192e+00,1.190e+00,1.195e+00,6.400e-04
      5319,1.095e+00,1.145e+00,1.145e+00,6.400e-04
      5346,1.344e+00,1.496e+00,1.145e+00,6.400e-04
      5373,1.520e+00,1.459e+00,1.145e+00,6.400e-04
      5400,1.189e+00,1.312e+00,1.145e+00,5.120e-04
      5427,1.169e+00,1.206e+00,1.145e+00,5.120e-04
      5454,1.426e+00,1.559e+00,1.145e+00,5.120e-04
      5481,1.199e+00,1.268e+00,1.145e+00,5.120e-04
      5508,1.090e+00,1.192e+00,1.145e+00,5.120e-04
      5535,1.073e+00,1.145e+00,1.145e+00,5.120e-04
      5562,1.738e+00,1.609e+00,1.145e+00,5.120e-04
      5589,1.161e+00,1.298e+00,1.145e+00,5.120e-04
      5616,1.103e+00,1.259e+00,1.145e+00,5.120e-04
      5643,1.232e+00,1.229e+00,1.145e+00,5.120e-04
      5670,1.123e+00,1.150e+00,1.145e+00,5.120e-04
      5697,1.264e+00,1.331e+00,1.145e+00,5.120e-04
      5724,1.002e+00,1.125e+00,1.125e+00,5.120e-04
      5751,1.051e+00,1.124e+00,1.125e+00,5.120e-04
      5778,1.140e+00,1.228e+00,1.125e+00,5.120e-04
      5805,1.193e+00,1.246e+00,1.125e+00,5.120e-04
      5832,1.094e+00,1.196e+00,1.125e+00,5.120e-04
      5859,1.221e+00,1.297e+00,1.125e+00,5.120e-04
      5886,1.239e+00,1.253e+00,1.125e+00,5.120e-04
      5913,1.077e+00,1.230e+00,1.125e+00,5.120e-04
      5940,1.186e+00,1.182e+00,1.125e+00,5.120e-04
      5967,1.049e+00,1.167e+00,1.125e+00,5.120e-04
      5994,9.842e-01,1.070e+00,1.070e+00,5.120e-04
      6021,1.190e+00,1.307e+00,1.070e+00,5.120e-04
      6048,1.252e+00,1.307e+00,1.070e+00,5.120e-04
      6075,1.245e+00,1.331e+00,1.070e+00,5.120e-04
      6102,1.089e+00,1.176e+00,1.070e+00,5.120e-04
      6129,1.172e+00,1.192e+00,1.070e+00,5.120e-04
      6156,1.014e+00,1.071e+00,1.070e+00,5.120e-04
      6183,1.025e+00,1.092e+00,1.070e+00,5.120e-04
      6210,1.037e+00,1.204e+00,1.070e+00,5.120e-04
      6237,9.835e-01,1.128e+00,1.070e+00,5.120e-04
      6264,1.082e+00,1.146e+00,1.070e+00,5.120e-04
      6291,9.850e-01,1.036e+00,1.036e+00,5.120e-04
      6318,1.072e+00,1.148e+00,1.036e+00,5.120e-04
      6345,9.551e-01,1.029e+00,1.036e+00,5.120e-04
      6372,1.013e+00,1.067e+00,1.036e+00,5.120e-04
      6399,9.891e-01,1.096e+00,1.036e+00,5.120e-04
      6426,1.192e+00,1.269e+00,1.036e+00,5.120e-04
      6453,1.145e+00,1.183e+00,1.036e+00,5.120e-04
      6480,1.388e+00,1.407e+00,1.036e+00,5.120e-04
      6507,9.985e-01,1.151e+00,1.036e+00,5.120e-04
      6534,9.761e-01,1.084e+00,1.036e+00,5.120e-04
      6561,9.571e-01,1.040e+00,1.036e+00,5.120e-04
      6588,9.658e-01,1.088e+00,1.036e+00,5.120e-04
      6615,1.135e+00,1.123e+00,1.036e+00,5.120e-04
      6642,9.563e-01,1.035e+00,1.036e+00,5.120e-04
      6669,1.081e+00,1.104e+00,1.036e+00,5.120e-04
      6696,1.010e+00,1.068e+00,1.036e+00,5.120e-04
      6723,9.876e-01,1.085e+00,1.036e+00,5.120e-04
      6750,1.015e+00,1.105e+00,1.036e+00,5.120e-04
      6777,1.181e+00,1.171e+00,1.036e+00,5.120e-04
      6804,1.048e+00,1.165e+00,1.036e+00,5.120e-04
      6831,1.219e+00,1.293e+00,1.036e+00,5.120e-04
      6858,1.005e+00,1.119e+00,1.036e+00,5.120e-04
      6885,1.301e+00,1.241e+00,1.036e+00,5.120e-04
      6912,9.785e-01,1.100e+00,1.036e+00,5.120e-04
      6939,1.003e+00,1.081e+00,1.036e+00,5.120e-04
      6966,1.126e+00,1.159e+00,1.036e+00,5.120e-04
      6993,1.002e+00,1.069e+00,1.036e+00,5.120e-04
      7020,1.115e+00,1.187e+00,1.036e+00,5.120e-04
      7047,9.616e-01,1.034e+00,1.036e+00,5.120e-04
      7074,9.697e-01,1.063e+00,1.036e+00,5.120e-04
      7101,9.706e-01,9.968e-01,9.968e-01,5.120e-04
      7128,9.866e-01,1.023e+00,9.968e-01,5.120e-04
      7155,1.047e+00,1.075e+00,9.968e-01,5.120e-04
      7182,1.011e+00,1.049e+00,9.968e-01,5.120e-04
      7209,1.005e+00,1.138e+00,9.968e-01,5.120e-04
